id,site,site_id,job_title,area,due_date,work_location,work_type,link,ingestion_ts,is_new
Ework-71129,Ework,71129,Software Engineer Senior - Onsite in Linköping ,"C, C++, Automotive experience, Linux",2025-09-24T12:00:00+02:00,Linkoping,På plats,https://app.verama.com/sv/job-requests/71129,2025-09-19 15:56:34,False
Ework-71128,Ework,71128,Riskutredning Dragon Gate,"riskutredning, Riskhantering",2025-10-07T23:59:00+02:00,"Gavle, Skutskär, Marma",Remote,https://app.verama.com/sv/job-requests/71128,2025-09-19 15:56:34,False
Ework-71127,Ework,71127,Software Engineer - Onsite in Linköping,"C++, Automotive experience, C, Linux",2025-09-24T12:00:00+02:00,Linkoping,På plats,https://app.verama.com/sv/job-requests/71127,2025-09-19 15:56:34,False
Ework-71125,Ework,71125,Kalkylator för kalkyler och kostnadsuppskattningar,Se  bifogad beställningsblankett,2025-09-26T23:59:00+02:00,Stockholm,På plats,https://app.verama.com/sv/job-requests/71125,2025-09-19 15:56:34,False
Upgraded-https://upgraded.se/konsultuppdrag/128803-stod-for-resursfordelning/,Upgraded,https://upgraded.se/konsultuppdrag/128803-stod-for-resursfordelning/,Stöd för resursfördelning,System specialist,2025-10-02,"Landskrona, SE",Distansarbete: Hybrid,https://upgraded.se/konsultuppdrag/128803-stod-for-resursfordelning/,2025-09-19 16:03:22,False
Upgraded-https://upgraded.se/konsultuppdrag/128793-handledare-till-ett-erfaret-team-med-familjebehandlare/,Upgraded,https://upgraded.se/konsultuppdrag/128793-handledare-till-ett-erfaret-team-med-familjebehandlare/,Handledare till ett erfaret team med familjebehandlare,Handledare,2025-09-25,"Lidingö, SE",Distansarbete: Konsult behöver arbeta 100% på plats,https://upgraded.se/konsultuppdrag/128793-handledare-till-ett-erfaret-team-med-familjebehandlare/,2025-09-19 16:03:22,False
Upgraded-https://upgraded.se/konsultuppdrag/128789-brandvaggskonsult-fortinet-kompetens/,Upgraded,https://upgraded.se/konsultuppdrag/128789-brandvaggskonsult-fortinet-kompetens/,Brandväggskonsult Fortinet kompetens,Brandväggskonsult,2025-09-29,"Landskrona, SE",Distansarbete: Konsult behöver arbeta 100% på plats,https://upgraded.se/konsultuppdrag/128789-brandvaggskonsult-fortinet-kompetens/,2025-09-19 16:03:22,False
Upgraded-https://upgraded.se/konsultuppdrag/128714-informationsarkitekt-6/,Upgraded,https://upgraded.se/konsultuppdrag/128714-informationsarkitekt-6/,Informationsarkitekt,Informationsarkitekt,2025-10-10,Stockholm,Distansarbete: Hybrid,https://upgraded.se/konsultuppdrag/128714-informationsarkitekt-6/,2025-09-19 16:03:22,False
Upgraded-https://upgraded.se/konsultuppdrag/128707-losningsarkitekt-53/,Upgraded,https://upgraded.se/konsultuppdrag/128707-losningsarkitekt-53/,Lösningsarkitekt,Lösningsarkitekt,2025-09-25,Stockholm,nan,https://upgraded.se/konsultuppdrag/128707-losningsarkitekt-53/,2025-09-19 16:03:22,False
Upgraded-https://upgraded.se/konsultuppdrag/128594-oversyn-processer-intaktsfloden-samt-organisation-och-arbetsfordelning-inom-affarsomrade-kultur-fritid/,Upgraded,https://upgraded.se/konsultuppdrag/128594-oversyn-processer-intaktsfloden-samt-organisation-och-arbetsfordelning-inom-affarsomrade-kultur-fritid/,"Översyn processer, intäktsflöden samt organisation och arbetsfördelning inom Affärsområde Kultur & Fritid",Verksamhetsutveckling - ekonomistyrning,2025-09-26,"Nacka, SE","Distansarbete: Möjlighet till distansarbete, intervjuer sker om möjligt på plats",https://upgraded.se/konsultuppdrag/128594-oversyn-processer-intaktsfloden-samt-organisation-och-arbetsfordelning-inom-affarsomrade-kultur-fritid/,2025-09-19 16:03:22,False
Upgraded-https://upgraded.se/konsultuppdrag/128575-team-sakerhetsskyddsspecialister/,Upgraded,https://upgraded.se/konsultuppdrag/128575-team-sakerhetsskyddsspecialister/,Team Säkerhetsskyddsspecialister,Säkerhetsskyddskonsult,2025-09-25,"Stockholm, SE",Distansarbete: Hybrid. Det kan även förekomma resor inom Sverige.,https://upgraded.se/konsultuppdrag/128575-team-sakerhetsskyddsspecialister/,2025-09-19 16:03:22,False
Upgraded-https://upgraded.se/konsultuppdrag/128985-it-support-3/,Upgraded,https://upgraded.se/konsultuppdrag/128985-it-support-3/,IT support,IT-support,2025-09-30,Stockholm,nan,https://upgraded.se/konsultuppdrag/128985-it-support-3/,2025-09-22 11:04:31,False
Upgraded-https://upgraded.se/konsultuppdrag/128937-scrum-master-27/,Upgraded,https://upgraded.se/konsultuppdrag/128937-scrum-master-27/,Scrum Master,Scrum Master,2025-09-25,Södertälje,Distansarbete: Hybrid,https://upgraded.se/konsultuppdrag/128937-scrum-master-27/,2025-09-22 11:04:31,False
Upgraded-https://upgraded.se/konsultuppdrag/128930-fullstack-utbildare-i-java/,Upgraded,https://upgraded.se/konsultuppdrag/128930-fullstack-utbildare-i-java/,Fullstack-utbildare i Java,Utbildare,2025-09-23,nan,Distansarbete: Remote,https://upgraded.se/konsultuppdrag/128930-fullstack-utbildare-i-java/,2025-09-22 11:04:31,False
